metro_id,Metro,StateID
1,Anchorage,1
2,Fairbanks,1
3,Albertville,2
4,Anniston,2
5,Auburn,2
6,Birmingham,2
7,Columbus,2
8,Daphne,2
9,Decatur,2
10,Dothan,2
11,Enterprise,2
12,Florence,2
13,Gadsden,2
14,Huntsville,2
15,Mobile,2
16,Montgomery,2
17,Ozark,2
18,Scottsboro,2
19,Talladega,2
20,Troy,2
21,Tuscaloosa,2
22,Batesville,3
23,Blytheville,3
24,Fayetteville,3
25,Fort Smith,3
26,Hot Springs,3
27,Jonesboro,3
28,Little Rock,3
29,Malvern,3
30,Memphis,3
31,Mountain Home,3
32,Paragould,3
33,Pine Bluff,3
34,Russellville,3
35,Searcy,3
36,Texarkana,3
37,Flagstaff,4
38,Lake Havasu City,4
39,Nogales,4
40,Payson,4
41,Phoenix,4
42,Prescott,4
43,Safford,4
44,Show Low,4
45,Sierra Vista,4
46,Tucson,4
47,Yuma,4
48,Bakersfield,5
49,Chico,5
50,Clearlake,5
51,El Centro,5
52,Eureka,5
53,Fresno,5
54,Hanford,5
55,Los Angeles,5
56,Madera,5
57,Merced,5
58,Modesto,5
59,Napa,5
60,Red Bluff,5
61,Redding,5
62,Riverside,5
63,Sacramento,5
64,Salinas,5
65,San Diego,5
66,San Francisco,5
67,San Jose,5
68,San Luis Obispo,5
69,Santa Cruz,5
70,Santa Maria-Santa Barbara,5
71,Santa Rosa,5
72,Sonora,5
73,Stockton,5
74,Susanville,5
75,Truckee,5
76,Vallejo,5
77,Ventura,5
78,Visalia,5
79,Yuba City,5
80,Boulder,6
81,Canon City,6
82,Colorado Springs,6
83,Craig,6
84,Denver,6
85,Edwards,6
86,Fort Collins,6
87,Glenwood Springs,6
88,Grand Junction,6
89,Greeley,6
90,Montrose,6
91,Pueblo,6
92,Steamboat Springs,6
93,Sterling,6
94,Hartford,7
95,New Haven,7
96,New London,7
97,Stamford,7
98,Torrington,7
99,Worcester,7
100,Washington,8
101,Dover,9
102,Philadelphia,9
103,Salisbury,9
104,Arcadia,10
105,Clewiston,10
106,Crestview,10
107,Daytona Beach,10
108,Fort Myers,10
109,Gainesville,10
110,Homosassa Springs,10
111,Jacksonville,10
112,Key West,10
113,Lake City,10
114,Lakeland,10
115,Melbourne,10
116,Miami-Fort Lauderdale,10
117,Ocala,10
118,Okeechobee,10
119,Orlando,10
120,Palatka,10
121,Panama City,10
122,Pensacola,10
123,Port St. Lucie,10
124,Punta Gorda,10
125,Sarasota,10
126,Sebring,10
127,Tallahassee,10
128,Tampa,10
129,The Villages,10
