City Code,City,MetroID,CountyID,StateID,Population Rank Price,Population Rank Pricesqft
6181,New York,518,1131,35,1,1
12447,Los Angeles,55,92,5,2,2
17426,Chicago,203,430,15,3,3
39051,Houston,704,1497,44,4,4
13271,Philadelphia,625,1332,39,5,5
40326,Phoenix,41,68,4,6,6
18959,Las Vegas,498,1088,34,7,7
6915,San Antonio,722,1447,44,8,8
54296,San Diego,65,108,5,9,9
38128,Dallas,696,1470,44,10,10
33839,San Jose,67,114,5,11,11
25290,Jacksonville,111,190,10,12,12
20330,San Francisco,66,109,5,13,13
32149,Indianapolis,234,512,16,14,14
10221,Austin,687,1562,44,15,15
18172,Fort Worth,696,1558,44,16,16
17762,Detroit,334,789,23,17,17
10920,Columbus,538,1168,36,18,18
32811,Memphis,676,1429,43,19,19
24043,Charlotte,419,973,28,20,20
17933,El Paso,701,1477,44,21,21
44269,Boston,304,688,20,22,22
16037,Seattle,777,1725,48,23,23
3523,Baltimore,312,693,21,24,24
11093,Denver,84,137,6,25,25
41568,Washington,100,175,8,26,26
6118,Nashville,678,1399,43,27,27
5976,Milwaukee,796,1771,49,28,28
7481,Tucson,46,71,4,29,29
13373,Portland,602,1283,38,30,30
33225,Oklahoma City,580,1249,37,31,31
40152,Omaha,461,1019,30,32,32
23429,Albuquerque,478,1064,33,33,33
18203,Fresno,53,83,5,34,34
20288,Sacramento,63,105,5,35,35
19331,Mesa,41,68,4,36,36
46298,Long Beach,55,92,5,37,37
18795,Kansas City,385,856,25,38,38
41515,Virginia Beach,752,1690,46,39,39
4172,Colorado Springs,82,140,6,40,40
37211,Atlanta,133,275,11,41,41
12700,Miami,116,212,10,42,42
13072,Oakland,66,76,5,43,43
20859,Tulsa,584,1259,37,44,44
24115,Cleveland,537,1162,36,45,45
18615,Honolulu,165,349,12,46,46
5983,Minneapolis,371,806,24,47,47
44055,Baton Rouge,292,648,19,48,48
19594,New Orleans,300,660,19,49,49
50763,Arlington,696,1558,44,50,50
54047,Raleigh,443,1003,28,51,51
7929,Wichita,270,581,17,52,52
41176,Tampa,128,200,10,53,53
16764,Anaheim,55,101,5,54,54
47568,Santa Ana,55,101,5,55,55
16846,Aurora,84,129,6,56,56
6891,Saint Louis,393,874,25,57,57
38025,Corpus Christi,694,1540,44,58,58
4099,Cincinnati,536,1173,36,59,59
26529,Pittsburgh,626,1292,39,60,60
47401,Riverside,62,104,5,61,61
12562,Marietta,133,254,11,62,62
23482,Anchorage,1,1825,1,63,63
3506,Bakersfield,48,88,5,64,64
20313,Saint Paul,371,823,24,65,65
34303,Toledo,559,1186,36,66,66
7081,Silver Spring,320,705,21,67,67
25574,Lexington,282,600,18,68,68
12970,Newark,472,1049,32,69,69
47945,Tallahassee,127,206,10,70,70
7266,Stockton,73,110,5,71,71
53915,Plano,696,1464,44,72,72
17222,Buffalo,507,1110,35,73,73
17384,Chandler,41,68,4,74,74
12455,Louisville,284,612,18,75,75
11867,Henderson,498,1088,34,76,76
25934,Modesto,58,120,5,77,77
32900,Mobile,15,23,2,78,78
25320,Jersey City,472,1051,32,79,79
53060,Lubbock,712,1527,44,80,80
18298,Glendale,41,68,4,81,81
24457,Durham,422,949,28,82,82
13121,Orlando,119,217,10,83,83
6210,Norfolk,752,1657,46,84,84
26922,Saint Petersburg,128,221,10,85,85
53856,Pensacola,122,191,10,86,86
18170,Fort Wayne,230,478,16,87,87
11722,Greensboro,null,957,28,88,88
32503,Lincoln,459,1024,30,89,89
20328,San Bernardino,62,107,5,90,90
24225,Corona,62,104,5,91,91
51405,Chula Vista,65,108,5,92,92
44564,Chesapeake,752,1615,46,93,93
25104,Hialeah,116,212,10,94,94
398849,Madison,792,1753,49,95,95
18251,Garland,696,1470,44,96,96
24741,Fontana,62,107,5,97,97
31614,Fort Myers,108,205,10,98,98
25428,Knoxville,674,1413,43,99,99
52893,Laredo,710,1572,44,100,100
26187,North Las Vegas,498,1088,34,101,101
5573,Lawrenceville,133,281,11,102,102
11540,Fremont,66,76,5,103,103
52001,Fayetteville,424,943,28,104,104
7222,Springfield,391,855,25,105,105
30258,Arlington,753,1603,46,106,106
12065,Irving,696,1470,44,107,107
4888,Gilbert,41,68,4,108,108
54346,Scottsdale,41,68,4,109,109
13550,Rochester,523,1119,35,110,110
41760,Winston-Salem,451,951,28,111,111
52650,Irvine,55,101,5,112,112
6752,Richmond,749,1675,46,113,113
10477,Boca Raton,116,219,10,114,114
13150,Oxnard,77,125,5,115,115
44282,Bradenton,125,209,10,116,116
32931,Montgomery,16,24,2,117,117
26967,Santa Rosa,71,119,5,118,118
17759,Des Moines,172,382,13,119,119
13478,Reno,500,1096,34,120,120
20604,Spokane,779,1739,48,121,121
10210,Augusta,134,324,11,122,122
27362,Tacoma,777,1734,48,123,123
11671,Grand Rapids,337,761,23,124,124
6285,Oceanside,65,108,5,125,125
24821,Gainesville,109,179,10,126,126
14701,Woodbridge,753,1670,46,127,127
53673,Ocala,117,210,10,128,128
45457,Glendale,55,92,5,129,129
3737,Boise,185,394,14,130,130
24960,Greenville,646,1364,41,131,131
10417,Birmingham,6,18,2,132,132
6909,Salt Lake City,738,1589,45,133,133
