City Code,City,Metro,County,State,Population Rank Price,Population Rank Pricesqft
6181,New York,New York,Queens,NY,1,1
12447,Los Angeles,Los Angeles,Los Angeles,CA,2,2
17426,Chicago,Chicago,Cook,IL,3,3
39051,Houston,Houston,Harris,TX,4,4
13271,Philadelphia,Philadelphia,Philadelphia,PA,5,5
40326,Phoenix,Phoenix,Maricopa,AZ,6,6
18959,Las Vegas,Las Vegas,Clark,NV,7,7
6915,San Antonio,San Antonio,Bexar,TX,8,8
54296,San Diego,San Diego,San Diego,CA,9,9
38128,Dallas,Dallas-Fort Worth,Dallas,TX,10,10
33839,San Jose,San Jose,Santa Clara,CA,11,11
25290,Jacksonville,Jacksonville,Duval,FL,12,12
20330,San Francisco,San Francisco,San Francisco,CA,13,13
32149,Indianapolis,Indianapolis,Marion,IN,14,14
10221,Austin,Austin,Travis,TX,15,15
18172,Fort Worth,Dallas-Fort Worth,Tarrant,TX,16,16
17762,Detroit,Detroit,Wayne,MI,17,17
10920,Columbus,Columbus,Franklin,OH,18,18
32811,Memphis,Memphis,Shelby,TN,19,19
24043,Charlotte,Charlotte,Mecklenburg,NC,20,20
17933,El Paso,El Paso,El Paso,TX,21,21
44269,Boston,Boston,Suffolk,MA,22,22
16037,Seattle,Seattle,King,WA,23,23
3523,Baltimore,Baltimore,Baltimore City,MD,24,24
11093,Denver,Denver,Denver,CO,25,25
41568,Washington,Washington,District of Columbia,DC,26,26
6118,Nashville,Nashville,Davidson,TN,27,27
5976,Milwaukee,Milwaukee,Milwaukee,WI,28,28
7481,Tucson,Tucson,Pima,AZ,29,29
13373,Portland,Portland,Multnomah,OR,30,30
33225,Oklahoma City,Oklahoma City,Oklahoma,OK,31,31
40152,Omaha,Omaha,Douglas,NE,32,32
23429,Albuquerque,Albuquerque,Bernalillo,NM,33,33
18203,Fresno,Fresno,Fresno,CA,34,34
20288,Sacramento,Sacramento,Sacramento,CA,35,35
19331,Mesa,Phoenix,Maricopa,AZ,36,36
46298,Long Beach,Los Angeles,Los Angeles,CA,37,37
18795,Kansas City,Kansas City,Jackson,MO,38,38
41515,Virginia Beach,Virginia Beach,Virginia Beach City,VA,39,39
4172,Colorado Springs,Colorado Springs,El Paso,CO,40,40
37211,Atlanta,Atlanta,Fulton,GA,41,41
12700,Miami,Miami-Fort Lauderdale,Miami-Dade,FL,42,42
13072,Oakland,San Francisco,Alameda,CA,43,43
20859,Tulsa,Tulsa,Tulsa,OK,44,44
24115,Cleveland,Cleveland,Cuyahoga,OH,45,45
18615,Honolulu,Urban Honolulu,Honolulu,HI,46,46
5983,Minneapolis,Minneapolis-St Paul,Hennepin,MN,47,47
44055,Baton Rouge,Baton Rouge,East Baton Rouge,LA,48,48
19594,New Orleans,New Orleans,Orleans,LA,49,49
50763,Arlington,Dallas-Fort Worth,Tarrant,TX,50,50
54047,Raleigh,Raleigh,Wake,NC,51,51
7929,Wichita,Wichita,Sedgwick,KS,52,52
41176,Tampa,Tampa,Hillsborough,FL,53,53
16764,Anaheim,Los Angeles,Orange,CA,54,54
47568,Santa Ana,Los Angeles,Orange,CA,55,55
16846,Aurora,Denver,Arapahoe,CO,56,56
6891,Saint Louis,St. Louis,Saint Louis City,MO,57,57
38025,Corpus Christi,Corpus Christi,Nueces,TX,58,58
4099,Cincinnati,Cincinnati,Hamilton,OH,59,59
26529,Pittsburgh,Pittsburgh,Allegheny,PA,60,60
47401,Riverside,Riverside,Riverside,CA,61,61
12562,Marietta,Atlanta,Cobb,GA,62,62
23482,Anchorage,Anchorage,Anchorage,AK,63,63
3506,Bakersfield,Bakersfield,Kern,CA,64,64
20313,Saint Paul,Minneapolis-St Paul,Ramsey,MN,65,65
34303,Toledo,Toledo,Lucas,OH,66,66
7081,Silver Spring,Washington,Montgomery,MD,67,67
25574,Lexington,Lexington,Fayette,KY,68,68
12970,Newark,New York,Essex,NJ,69,69
47945,Tallahassee,Tallahassee,Leon,FL,70,70
7266,Stockton,Stockton,San Joaquin,CA,71,71
53915,Plano,Dallas-Fort Worth,Collin,TX,72,72
17222,Buffalo,Buffalo,Erie,NY,73,73
17384,Chandler,Phoenix,Maricopa,AZ,74,74
12455,Louisville,Louisville,Jefferson,KY,75,75
11867,Henderson,Las Vegas,Clark,NV,76,76
25934,Modesto,Modesto,Stanislaus,CA,77,77
32900,Mobile,Mobile,Mobile,AL,78,78
25320,Jersey City,New York,Hudson,NJ,79,79
53060,Lubbock,Lubbock,Lubbock,TX,80,80
18298,Glendale,Phoenix,Maricopa,AZ,81,81
24457,Durham,Durham,Durham,NC,82,82
13121,Orlando,Orlando,Orange,FL,83,83
6210,Norfolk,Virginia Beach,Norfolk City,VA,84,84
26922,Saint Petersburg,Tampa,Pinellas,FL,85,85
53856,Pensacola,Pensacola,Escambia,FL,86,86
18170,Fort Wayne,Fort Wayne,Allen,IN,87,87
11722,Greensboro,,Guilford,NC,88,88
32503,Lincoln,Lincoln,Lancaster,NE,89,89
20328,San Bernardino,Riverside,San Bernardino,CA,90,90
24225,Corona,Riverside,Riverside,CA,91,91
51405,Chula Vista,San Diego,San Diego,CA,92,92
44564,Chesapeake,Virginia Beach,Chesapeake City,VA,93,93
25104,Hialeah,Miami-Fort Lauderdale,Miami-Dade,FL,94,94
398849,Madison,Madison,Dane,WI,95,95
18251,Garland,Dallas-Fort Worth,Dallas,TX,96,96
24741,Fontana,Riverside,San Bernardino,CA,97,97
31614,Fort Myers,Fort Myers,Lee,FL,98,98
25428,Knoxville,Knoxville,Knox,TN,99,99
52893,Laredo,Laredo,Webb,TX,100,100
26187,North Las Vegas,Las Vegas,Clark,NV,101,101
5573,Lawrenceville,Atlanta,Gwinnett,GA,102,102
11540,Fremont,San Francisco,Alameda,CA,103,103
52001,Fayetteville,Fayetteville,Cumberland,NC,104,104
7222,Springfield,Springfield,Greene,MO,105,105
30258,Arlington,Washington,Arlington,VA,106,106
12065,Irving,Dallas-Fort Worth,Dallas,TX,107,107
4888,Gilbert,Phoenix,Maricopa,AZ,108,108
54346,Scottsdale,Phoenix,Maricopa,AZ,109,109
